No,Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
244,inentamaampaan,"I thought so of it, them (inan.)",1s→0 TI1 Conjunct Preterit,I thought so of it
245,inentamaampaan,"I thought so of it, them (inan.)",1s→0 TI1 Conjunct Preterit,I thought so of them(plur.)
246,inentamaan,"I think so of it, them (inan.)",1s→0 TI1 Conjunct Indicative,I think so of it
247,inentamaan,"I think so of it, them (inan.)",1s→0 TI1 Conjunct Indicative,I think so of them(plur.)
248,inentamaank,"we (excl.) think so of it, them (inan.)",1p→0 TI1 Conjunct Indicative,we think so of it
249,inentamaank,"we (excl.) think so of it, them (inan.)",1p→0 TI1 Conjunct Indicative,we think so of them(plur.)
250,inentamaankipan,"we (excl.) thought so of it, them (inan.)",1p→0 TI1 Conjunct Preterit,we thought so of it
251,inentamaankipan,"we (excl.) thought so of it, them (inan.)",1p→0 TI1 Conjunct Preterit,we thought so of them(plur.)
252,inentamampan,"you (sg.) thought so of it, them (inan.)",2s→0 TI1 Conjunct Preterit,you thought so of it
253,inentamampan,"you (sg.) thought so of it, them (inan.)",2s→0 TI1 Conjunct Preterit,you thought so of them(plur.)
254,inentaman,"you (sg.) think so of it, them (inan.)",2s→0 TI1 Conjunct Indicative,you think so of it
255,inentaman,"you (sg.) think so of it, them (inan.)",2s→0 TI1 Conjunct Indicative,you think so of them(plur.)
256,inentamank,"we (incl.) think so of it, them (inan.)",21→0 TI1 Conjunct Indicative,we think so of it
257,inentamank,"we (incl.) think so of it, them (inan.)",21→0 TI1 Conjunct Indicative,we think so of them(plur.)
258,inentamankipan,"we (incl.) thought so of it, them (inan.)",21→0 TI1 Conjunct Preterit,we thought so of it
259,inentamankipan,"we (incl.) thought so of it, them (inan.)",21→0 TI1 Conjunct Preterit,we thought so of them(plur.)
260,inentamek,"you (pl.) think so of it, them (inan.)",2p→0 TI1 Conjunct Indicative,you think so of it
261,inentamek,"you (pl.) think so of it, them (inan.)",2p→0 TI1 Conjunct Indicative,you think so of them(plur.)
262,inentamekipan,"you (pl.) thought so of it, them (inan.)",2p→0 TI1 Conjunct Preterit,you thought so of it
263,inentamekipan,"you (pl.) thought so of it, them (inan.)",2p→0 TI1 Conjunct Preterit,you thought so of them(plur.)
264,waapantaminikopan,"s/he, they (obv.) must have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(plur.) must have seen it
265,waapantaminikopan,"s/he, they (obv.) must have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(plur.) must have seen them(plur.)
266,waapantaminikopan,"s/he, they (obv.) must have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(sing.) must have seen it
267,waapantaminikopan,"s/he, they (obv.) must have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(sing.) must have seen them(plur.)
268,inentaminikopanen,"s/he, they (obv.) must have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(plur.) must have thought so of it
269,inentaminikopanen,"s/he, they (obv.) must have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(plur.) must have thought so of them(plur.)
270,inentaminikopanen,"s/he, they (obv.) must have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(sing.) must have thought so of it
271,inentaminikopanen,"s/he, they (obv.) must have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(sing.) must have thought so of them(plur.)
272,enentaminikwen,"s/he, they (obv.) must think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(plur.) must think so of it
273,enentaminikwen,"s/he, they (obv.) must think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(plur.) must think so of them(plur.)
274,enentaminikwen,"s/he, they (obv.) must think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(sing.) must think so of it
275,enentaminikwen,"s/he, they (obv.) must think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(sing.) must think so of them(plur.)
276,inentaminippan,"s/he, they (obv.) thought so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,they(plur.) thought so of it
277,inentaminippan,"s/he, they (obv.) thought so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,they(plur.) thought so of them(plur.)
278,inentaminippan,"s/he, they (obv.) thought so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,they(sing.) thought so of it
279,inentaminippan,"s/he, they (obv.) thought so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,they(sing.) thought so of them(plur.)
280,inentaminit,"s/he, they (obv.) think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,they(plur.) think so of it
281,inentaminit,"s/he, they (obv.) think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,they(plur.) think so of them(plur.)
282,inentaminit,"s/he, they (obv.) think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,they(sing.) think so of it
283,inentaminit,"s/he, they (obv.) think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,they(sing.) think so of them(plur.)
284,inentamink,"people think so of it, them (inan.)",X→0 TI1 Conjunct Indicative,people think so of it
285,inentamink,"people think so of it, them (inan.)",X→0 TI1 Conjunct Indicative,people think so of them(plur.)
286,inentaminkipan,"people thought so of it, them (inan.)",X→0 TI1 Conjunct Preterit,people thought so of it
287,inentaminkipan,"people thought so of it, them (inan.)",X→0 TI1 Conjunct Preterit,people thought so of them(plur.)
288,waapantamokopan,"s/he must have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,they(sing.) must have seen it
289,waapantamokopan,"s/he must have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,they(sing.) must have seen them(plur.)
290,inentamokopanen,"s/he must have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,they(sing.) must have thought so of it
291,inentamokopanen,"s/he must have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,they(sing.) must have thought so of them(plur.)
292,waapantamokwaapan,"they (anim.) must have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit,they(plur.) must have seen it
293,waapantamokwaapan,"they (anim.) must have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit,they(plur.) must have seen them(plur.)
294,enentamokwen,"s/he must think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,they(sing.) must think so of it
295,enentamokwen,"s/he must think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,they(sing.) must think so of them(plur.)
296,inentamowaakopanen,"they (anim.) must have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit,they(plur.) must have thought so of it
297,inentamowaakopanen,"they (anim.) must have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit,they(plur.) must have thought so of them(plur.)
298,enentamowaakwen,"they (anim.) must think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative,they(plur.) must think so of it
299,enentamowaakwen,"they (anim.) must think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative,they(plur.) must think so of them(plur.)
300,inentamowaampaanen,"I must have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,I must have thought so of it
301,inentamowaampaanen,"I must have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,I must have thought so of them(plur.)
302,enentamowaanen,"I must think so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative,I must think so of it
303,enentamowaanen,"I must think so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative,I must think so of them(plur.)
304,enentamowaanken,"we (excl.) must think so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative,we must think so of it
305,enentamowaanken,"we (excl.) must think so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative,we must think so of them(plur.)
306,inentamowaankipanen,"we (excl.) must have thought so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative Preterit,we must have thought so of it
307,inentamowaankipanen,"we (excl.) must have thought so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative Preterit,we must have thought so of them(plur.)
308,inentamowaappan,"they (anim.) thought so of it, them (inan.)",3p→0 TI1 Conjunct Preterit,they(plur.) thought so of it
309,inentamowaappan,"they (anim.) thought so of it, them (inan.)",3p→0 TI1 Conjunct Preterit,they(plur.) thought so of them(plur.)
310,inentamowaat,"they (anim.) think so of it, them (inan.)",3p→0 TI1 Conjunct Indicative,they(plur.) think so of it
311,inentamowaat,"they (anim.) think so of it, them (inan.)",3p→0 TI1 Conjunct Indicative,they(plur.) think so of them(plur.)
312,inentamowampanen,"you (sg.) must have thought so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative Preterit,you must have thought so of it
313,inentamowampanen,"you (sg.) must have thought so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative Preterit,you must have thought so of them(plur.)
314,enentamowanen,"you (sg.) must think so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative,you must think so of it
315,enentamowanen,"you (sg.) must think so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative,you must think so of them(plur.)
316,enentamowanken,"we (incl.) must think so of it, them (inan.)",21→0 TI1 Conjunct Dubitative,we must think so of it
317,enentamowanken,"we (incl.) must think so of it, them (inan.)",21→0 TI1 Conjunct Dubitative,we must think so of them(plur.)
318,inentamowankipanen,"we (incl.) must have thought so of it, them (inan.)",21→0 TI1 Conjunct Dubitative Preterit,we must have thought so of it
319,inentamowankipanen,"we (incl.) must have thought so of it, them (inan.)",21→0 TI1 Conjunct Dubitative Preterit,we must have thought so of them(plur.)
320,inentamowekipanen,"you (pl.) must have thought so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative Preterit,you must have thought so of it
321,inentamowekipanen,"you (pl.) must have thought so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative Preterit,you must have thought so of them(plur.)
322,enentamowekwen,"you (pl.) must think so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative,you must think so of it
323,enentamowekwen,"you (pl.) must think so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative,you must think so of them(plur.)
324,enentamowiinken,"people must think so of it, them (inan.)",X→0 TI1 Conjunct Dubitative,people must think so of it
325,enentamowiinken,"people must think so of it, them (inan.)",X→0 TI1 Conjunct Dubitative,people must think so of them(plur.)
326,inentamowiinkipanen,"people must have thought so of it, them (inan.)",X→0 TI1 Conjunct Dubitative Preterit,people must have thought so of it
327,inentamowiinkipanen,"people must have thought so of it, them (inan.)",X→0 TI1 Conjunct Dubitative Preterit,people must have thought so of them(plur.)
328,waapamank,we (incl.) see him/her,21→3s TA Conjunct Indicative,we see them(sing.)
329,inentank,"s/he thinks so of it, them (inan.)",3s→0 TI1 Conjunct Indicative,they(sing.) think so of it
330,inentank,"s/he thinks so of it, them (inan.)",3s→0 TI1 Conjunct Indicative,they(sing.) think so of them(plur.)
331,inentankipan,"s/he thought so of it, them (inan.)",3s→0 TI1 Conjunct Preterit,they(sing.) thought so of it
332,inentankipan,"s/he thought so of it, them (inan.)",3s→0 TI1 Conjunct Preterit,they(sing.) thought so of them(plur.)
333,waapamankipan,we (incl.) saw him/her,21→3s TA Conjunct Preterit,we saw them(sing.)
334,waapamankit,we (excl.) see him/her,1p→3s TA Conjunct Indicative,we see them(sing.)
335,waapamankitipan,we (excl.) saw him/her,1p→3s TA Conjunct Preterit,we saw them(sing.)
336,waapamankitwaa,we (excl.) see them (anim.),1p→3p TA Conjunct Indicative,we see them(plur.)
337,waapamankitwaapan,we (excl.) saw them (anim.),1p→3p TA Conjunct Preterit,we saw them(plur.)
338,waapamankwaa,we (incl.) see them (anim.),21→3p TA Conjunct Indicative,we see them(plur.)
339,waapamankwaapan,we (incl.) saw them (anim.),21→3p TA Conjunct Preterit,we saw them(plur.)
340,waapantansiikopan,"s/he must not have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,they(sing.) must not have seen it
341,waapantansiikopan,"s/he must not have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,they(sing.) must not have seen them(plur.)
342,inentansiikopanen,"s/he must not have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,they(sing.) must not have thought so of it
343,inentansiikopanen,"s/he must not have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,they(sing.) must not have thought so of them(plur.)
344,waapantansiikwaapan,"they (anim.) must not have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit,they(plur.) must not have seen it
345,waapantansiikwaapan,"they (anim.) must not have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit,they(plur.) must not have seen them(plur.)
346,enentansiikwen,"s/he must not think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,they(sing.) must not think so of it
347,enentansiikwen,"s/he must not think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,they(sing.) must not think so of them(plur.)
348,waapantansiinikopan,"s/he, they (obv.) must not have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(plur.) must not have seen it
349,waapantansiinikopan,"s/he, they (obv.) must not have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(plur.) must not have seen them(plur.)
350,waapantansiinikopan,"s/he, they (obv.) must not have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(sing.) must not have seen it
351,waapantansiinikopan,"s/he, they (obv.) must not have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,they(sing.) must not have seen them(plur.)
352,inentansiinikopanen,"s/he, they (obv.) must not have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(plur.) must not have thought so of it
353,inentansiinikopanen,"s/he, they (obv.) must not have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(plur.) must not have thought so of them(plur.)
354,inentansiinikopanen,"s/he, they (obv.) must not have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(sing.) must not have thought so of it
355,inentansiinikopanen,"s/he, they (obv.) must not have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,they(sing.) must not have thought so of them(plur.)
356,enentansiinikwen,"s/he, they (obv.) must not think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(plur.) must not think so of it
357,enentansiinikwen,"s/he, they (obv.) must not think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(plur.) must not think so of them(plur.)
358,enentansiinikwen,"s/he, they (obv.) must not think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(sing.) must not think so of it
359,enentansiinikwen,"s/he, they (obv.) must not think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,they(sing.) must not think so of them(plur.)
360,inentansiiwaakopanen,"they (anim.) must not have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit,they(plur.) must not have thought so of it
361,inentansiiwaakopanen,"they (anim.) must not have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit,they(plur.) must not have thought so of them(plur.)
362,enentansiiwaakwen,"they (anim.) must not think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative,they(plur.) must not think so of it
363,enentansiiwaakwen,"they (anim.) must not think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative,they(plur.) must not think so of them(plur.)
364,inentansiiwaampaanen,"I must not have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,I must not have thought so of it
365,inentansiiwaampaanen,"I must not have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,I must not have thought so of them(plur.)
