Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
inentaminit,"s/he, they (obv.) think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,"they(plur.) think so of it, them (inan.)"
inentaminit,"s/he, they (obv.) think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,"they(sing.) think so of it, them (inan.)"
inentamink,"people think so of it, them (inan.)",X→0 TI1 Conjunct Indicative,"people think so of it, them"
inentamink,"people think so of it, them (inan.)",X→0 TI1 Conjunct Indicative,"people think so of it, them"
inentaminkipan,"people thought so of it, them (inan.)",X→0 TI1 Conjunct Preterit,"people thought so of it, them"
inentaminkipan,"people thought so of it, them (inan.)",X→0 TI1 Conjunct Preterit,"people thought so of it, them"
waapantamokopan,"s/he must have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,"s/he must have seen it, them"
waapantamokopan,"s/he must have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,"s/he must have seen it, them"
inentamokopanen,"s/he must have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,"s/he must have thought so of it, them"
inentamokopanen,"s/he must have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,"s/he must have thought so of it, them"
waapantamokwaapan,"they (anim.) must have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit,"they(plur.) must have seen it, them (inan.)"
waapantamokwaapan,"they (anim.) must have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit," must have seen it, them (inan.)"
enentamokwen,"s/he must think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,"s/he must think so of it, them"
enentamokwen,"s/he must think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,"s/he must think so of it, them"
inentamowaakopanen,"they (anim.) must have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit,"they(plur.) must have thought so of it, them (inan.)"
inentamowaakopanen,"they (anim.) must have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit," must have thought so of it, them (inan.)"
enentamowaakwen,"they (anim.) must think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative,"they(plur.) must think so of it, them (inan.)"
enentamowaakwen,"they (anim.) must think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative," must think so of it, them (inan.)"
inentamowaampaanen,"I must have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,"I must have thought so of it, them"
inentamowaampaanen,"I must have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,"I must have thought so of it, them"
enentamowaanen,"I must think so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative,"I must think so of it, them"
enentamowaanen,"I must think so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative,"I must think so of it, them"
enentamowaanken,"we (excl.) must think so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative,"we must think so of it, them (inan.)"
enentamowaanken,"we (excl.) must think so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative,"we must think so of it, them (inan.)"
inentamowaankipanen,"we (excl.) must have thought so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative Preterit,"we must have thought so of it, them (inan.)"
inentamowaankipanen,"we (excl.) must have thought so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative Preterit,"we must have thought so of it, them (inan.)"
inentamowaappan,"they (anim.) thought so of it, them (inan.)",3p→0 TI1 Conjunct Preterit,"they(plur.) thought so of it, them (inan.)"
inentamowaappan,"they (anim.) thought so of it, them (inan.)",3p→0 TI1 Conjunct Preterit," thought so of it, them (inan.)"
inentamowaat,"they (anim.) think so of it, them (inan.)",3p→0 TI1 Conjunct Indicative,"they(plur.) think so of it, them (inan.)"
inentamowaat,"they (anim.) think so of it, them (inan.)",3p→0 TI1 Conjunct Indicative," think so of it, them (inan.)"
inentamowampanen,"you (sg.) must have thought so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative Preterit,"you must have thought so of it, them (inan.)"
inentamowampanen,"you (sg.) must have thought so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative Preterit,"you must have thought so of it, them (inan.)"
enentamowanen,"you (sg.) must think so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative,"you must think so of it, them (inan.)"
enentamowanen,"you (sg.) must think so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative,"you must think so of it, them (inan.)"
enentamowanken,"we (incl.) must think so of it, them (inan.)",21→0 TI1 Conjunct Dubitative,"we must think so of it, them (inan.)"
enentamowanken,"we (incl.) must think so of it, them (inan.)",21→0 TI1 Conjunct Dubitative,"we must think so of it, them (inan.)"
inentamowankipanen,"we (incl.) must have thought so of it, them (inan.)",21→0 TI1 Conjunct Dubitative Preterit,"we must have thought so of it, them (inan.)"
inentamowankipanen,"we (incl.) must have thought so of it, them (inan.)",21→0 TI1 Conjunct Dubitative Preterit,"we must have thought so of it, them (inan.)"
inentamowekipanen,"you (pl.) must have thought so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative Preterit,"you must have thought so of it, them (inan.)"
inentamowekipanen,"you (pl.) must have thought so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative Preterit,"you must have thought so of it, them (inan.)"
enentamowekwen,"you (pl.) must think so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative,"you must think so of it, them (inan.)"
enentamowekwen,"you (pl.) must think so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative,"you must think so of it, them (inan.)"
enentamowiinken,"people must think so of it, them (inan.)",X→0 TI1 Conjunct Dubitative,"people must think so of it, them"
enentamowiinken,"people must think so of it, them (inan.)",X→0 TI1 Conjunct Dubitative,"people must think so of it, them"
inentamowiinkipanen,"people must have thought so of it, them (inan.)",X→0 TI1 Conjunct Dubitative Preterit,"people must have thought so of it, them"
inentamowiinkipanen,"people must have thought so of it, them (inan.)",X→0 TI1 Conjunct Dubitative Preterit,"people must have thought so of it, them"
waapamank,we (incl.) see him/her,21→3s TA Conjunct Indicative,we see him/her
inentank,"s/he thinks so of it, them (inan.)",3s→0 TI1 Conjunct Indicative,"s/he thinks so of it, them"
inentank,"s/he thinks so of it, them (inan.)",3s→0 TI1 Conjunct Indicative,"s/he thinks so of it, them"
inentankipan,"s/he thought so of it, them (inan.)",3s→0 TI1 Conjunct Preterit,"s/he thought so of it, them"
inentankipan,"s/he thought so of it, them (inan.)",3s→0 TI1 Conjunct Preterit,"s/he thought so of it, them"
waapamankipan,we (incl.) saw him/her,21→3s TA Conjunct Preterit,we saw him/her
waapamankit,we (excl.) see him/her,1p→3s TA Conjunct Indicative,we see him/her
waapamankitipan,we (excl.) saw him/her,1p→3s TA Conjunct Preterit,we saw him/her
waapamankitwaa,we (excl.) see them (anim.),1p→3p TA Conjunct Indicative,we see them (anim.)
waapamankitwaapan,we (excl.) saw them (anim.),1p→3p TA Conjunct Preterit,we saw them (anim.)
waapamankwaa,we (incl.) see them (anim.),21→3p TA Conjunct Indicative,we see them (anim.)
waapamankwaapan,we (incl.) saw them (anim.),21→3p TA Conjunct Preterit,we saw them (anim.)
waapantansiikopan,"s/he must not have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,"s/he must not have seen it, them"
waapantansiikopan,"s/he must not have seen it, them (inan.)",3s→0 TI1 Independent Dubitative Preterit,"s/he must not have seen it, them"
inentansiikopanen,"s/he must not have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,"s/he must not have thought so of it, them"
inentansiikopanen,"s/he must not have thought so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative Preterit,"s/he must not have thought so of it, them"
waapantansiikwaapan,"they (anim.) must not have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit,"they(plur.) must not have seen it, them (inan.)"
waapantansiikwaapan,"they (anim.) must not have seen it, them (inan.)",3p→0 TI1 Independent Dubitative Preterit," must not have seen it, them (inan.)"
enentansiikwen,"s/he must not think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,"s/he must not think so of it, them"
enentansiikwen,"s/he must not think so of it, them (inan.)",3s→0 TI1 Conjunct Dubitative,"s/he must not think so of it, them"
waapantansiinikopan,"s/he, they (obv.) must not have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,"they(plur.) must not have seen it, them (inan.)"
waapantansiinikopan,"s/he, they (obv.) must not have seen it, them (inan.)",3'→0 TI1 Independent Dubitative Preterit,"they(sing.) must not have seen it, them (inan.)"
inentansiinikopanen,"s/he, they (obv.) must not have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,"they(plur.) must not have thought so of it, them (inan.)"
inentansiinikopanen,"s/he, they (obv.) must not have thought so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative Preterit,"they(sing.) must not have thought so of it, them (inan.)"
enentansiinikwen,"s/he, they (obv.) must not think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,"they(plur.) must not think so of it, them (inan.)"
enentansiinikwen,"s/he, they (obv.) must not think so of it, them (inan.)",3'→0 TI1 Conjunct Dubitative,"they(sing.) must not think so of it, them (inan.)"
inentansiiwaakopanen,"they (anim.) must not have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit,"they(plur.) must not have thought so of it, them (inan.)"
inentansiiwaakopanen,"they (anim.) must not have thought so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative Preterit," must not have thought so of it, them (inan.)"
enentansiiwaakwen,"they (anim.) must not think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative,"they(plur.) must not think so of it, them (inan.)"
enentansiiwaakwen,"they (anim.) must not think so of it, them (inan.)",3p→0 TI1 Conjunct Dubitative," must not think so of it, them (inan.)"
inentansiiwaampaanen,"I must not have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,"I must not have thought so of it, them"
inentansiiwaampaanen,"I must not have thought so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative Preterit,"I must not have thought so of it, them"
enentansiiwaanen,"I must not think so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative,"I must not think so of it, them"
enentansiiwaanen,"I must not think so of it, them (inan.)",1s→0 TI1 Conjunct Dubitative,"I must not think so of it, them"
enentansiiwaanken,"we (excl.) must not think so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative,"we must not think so of it, them (inan.)"
enentansiiwaanken,"we (excl.) must not think so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative,"we must not think so of it, them (inan.)"
inentansiiwaankipanen,"we (excl.) must not have thought so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative Preterit,"we must not have thought so of it, them (inan.)"
inentansiiwaankipanen,"we (excl.) must not have thought so of it, them (inan.)",1p→0 TI1 Conjunct Dubitative Preterit,"we must not have thought so of it, them (inan.)"
inentansiiwampanen,"you (sg.) must not have thought so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative Preterit,"you must not have thought so of it, them (inan.)"
inentansiiwampanen,"you (sg.) must not have thought so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative Preterit,"you must not have thought so of it, them (inan.)"
enentansiiwanen,"you (sg.) must not think so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative,"you must not think so of it, them (inan.)"
enentansiiwanen,"you (sg.) must not think so of it, them (inan.)",2s→0 TI1 Conjunct Dubitative,"you must not think so of it, them (inan.)"
enentansiiwanken,"we (incl.) must not think so of it, them (inan.)",21→0 TI1 Conjunct Dubitative,"we must not think so of it, them (inan.)"
enentansiiwanken,"we (incl.) must not think so of it, them (inan.)",21→0 TI1 Conjunct Dubitative,"we must not think so of it, them (inan.)"
inentansiiwankipanen,"we (incl.) must not have thought so of it, them (inan.)",21→0 TI1 Conjunct Dubitative Preterit,"we must not have thought so of it, them (inan.)"
inentansiiwankipanen,"we (incl.) must not have thought so of it, them (inan.)",21→0 TI1 Conjunct Dubitative Preterit,"we must not have thought so of it, them (inan.)"
inentansiiwekipanen,"you (pl.) must not have thought so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative Preterit,"you must not have thought so of it, them (inan.)"
inentansiiwekipanen,"you (pl.) must not have thought so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative Preterit,"you must not have thought so of it, them (inan.)"
enentansiiwekwen,"you (pl.) must not think so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative,"you must not think so of it, them (inan.)"
enentansiiwekwen,"you (pl.) must not think so of it, them (inan.)",2p→0 TI1 Conjunct Dubitative,"you must not think so of it, them (inan.)"
enentansiiwiinken,"people must not think so of it, them (inan.)",X→0 TI1 Conjunct Dubitative,"people must not think so of it, them"
enentansiiwiinken,"people must not think so of it, them (inan.)",X→0 TI1 Conjunct Dubitative,"people must not think so of it, them"
inentansiiwiinkipanen,"people must not have thought so of it, them (inan.)",X→0 TI1 Conjunct Dubitative Preterit,"people must not have thought so of it, them"
inentansiiwiinkipanen,"people must not have thought so of it, them (inan.)",X→0 TI1 Conjunct Dubitative Preterit,"people must not have thought so of it, them"
inentansik,"s/he does not think so of it, them (inan.)",3s→0 TI1 Conjunct Indicative,"s/he does not think so of it, them"
inentansik,"s/he does not think so of it, them (inan.)",3s→0 TI1 Conjunct Indicative,"s/he does not think so of it, them"
inentansikopan,"s/he did not think so of it, them (inan.)",3s→0 TI1 Conjunct Preterit,"s/he did not think so of it, them"
inentansikopan,"s/he did not think so of it, them (inan.)",3s→0 TI1 Conjunct Preterit,"s/he did not think so of it, them"
inentansikwaa,"they (anim.) do not think so of it, them (inan.)",3p→0 TI1 Conjunct Indicative,"they(plur.) do not think so of it, them (inan.)"
inentansikwaa,"they (anim.) do not think so of it, them (inan.)",3p→0 TI1 Conjunct Indicative," do not think so of it, them (inan.)"
inentansikwaapan,"they (anim.) did not think so of it, them (inan.)",3p→0 TI1 Conjunct Preterit,"they(plur.) did not think so of it, them (inan.)"
inentansikwaapan,"they (anim.) did not think so of it, them (inan.)",3p→0 TI1 Conjunct Preterit," did not think so of it, them (inan.)"
inentansinik,"s/he, they (obv.) do not think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,"they(plur.) do not think so of it, them (inan.)"
inentansinik,"s/he, they (obv.) do not think so of it, them (inan.)",3'→0 TI1 Conjunct Indicative,"they(sing.) do not think so of it, them (inan.)"
inentansinikopan,"s/he, they (obv.) did not think so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,"they(plur.) did not think so of it, them (inan.)"
inentansinikopan,"s/he, they (obv.) did not think so of it, them (inan.)",3'→0 TI1 Conjunct Preterit,"they(sing.) did not think so of it, them (inan.)"
inentansink,"people do not think so of it, them (inan.)",X→0 TI1 Conjunct Indicative,"people do not think so of it, them"
inentansink,"people do not think so of it, them (inan.)",X→0 TI1 Conjunct Indicative,"people do not think so of it, them"
inentansinkipan,"people did not think so of it, them (inan.)",X→0 TI1 Conjunct Preterit,"people did not think so of it, them"
inentansinkipan,"people did not think so of it, them (inan.)",X→0 TI1 Conjunct Preterit,"people did not think so of it, them"
